"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US53057","Skagit County, Washington","113179","128","92762","1989","16426","1789","449","336","302","229","86","71","890","805","431","407","492","603","23","41","301","257","489","420","528","429"
"0500000US53061","Snohomish County, Washington","712696","7","579497","6825","42782","4608","1876","749","2651","697","15472","4694","15353","3357","12410","2964","7072","1852","9476","2634","6548","1842","9486","1771","10073","2337"
"0500000US53063","Spokane County, Washington","454729","672","423246","3965","9180","2023","615","427","1285","553","9949","2931","2131","1539","565","441","865","522","2652","1224","1034","568","2376","1027","831","462"
"0500000US53067","Thurston County, Washington","249912","342","222752","2933","10768","1746","532","395","1325","562","554","523","1131","632","3633","1487","1615","954","2748","1271","1250","1156","2823","1122","781","635"
"0500000US53073","Whatcom County, Washington","197189","314","175890","3287","10186","1959","422","320","1773","987","1895","1400","1411","859","622","451","1354","789","1426","1540","773","809","1124","636","313","265"
"0500000US53077","Yakima County, Washington","226883","368","136799","4272","87493","4329","56","97","843","362","0","193","283","234","44","82","126","198","0","193","408","327","438","302","393","228"
"0500000US55009","Brown County, Wisconsin","239606","540","212962","2182","16865","1366","439","298","656","295","647","413","1177","886","39","66","1690","1818","454","615","207","274","3622","1426","848","613"
"0500000US55025","Dane County, Wisconsin","485578","116","425716","3229","26998","2001","1524","781","2895","867","1472","780","6984","1881","1291","609","6017","1502","248","304","405","377","10565","2403","1463","782"
"0500000US55035","Eau Claire County, Wisconsin","95718","451","90314","991","946","661","34","42","963","503","281","310","359","343","161","232","1233","899","0","145","185","172","1131","604","111","185"
"0500000US55059","Kenosha County, Wisconsin","158229","207","143015","2569","10613","1970","223","137","527","337","1465","1481","1047","543","0","145","209","220","0","145","600","540","222","238","308","410"
